                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.49973,                0.50278,                 1.0253,                0.90272,                0.86093,                0.95016,                0.78163,                0.81863,                0.61122,                 1.2816,             5.2781e-05,             5.2781e-05,             5.2781e-05
                     88,                0.49947,                 0.4994,                 1.0238,                0.91775,                0.88467,                0.95836,                0.79047,                0.81556,                0.58871,                 1.2532,             4.9484e-05,             4.9484e-05,             4.9484e-05
                     89,                0.48982,                0.49386,                 1.0167,                 0.9128,                0.88539,                0.95022,                0.78184,                0.80431,                 0.5992,                 1.2576,             4.6187e-05,             4.6187e-05,             4.6187e-05
                     90,                0.49754,                0.49643,                 1.0344,                0.91895,                0.87581,                0.94858,                0.78438,                0.79938,                0.58966,                 1.2555,              4.289e-05,              4.289e-05,              4.289e-05
                     91,                0.35373,                0.32175,                0.94811,                0.93003,                0.86033,                0.95517,                0.78734,                 0.7844,                0.56398,                 1.2392,             3.9594e-05,             3.9594e-05,             3.9594e-05
                     92,                0.35401,                0.30521,                0.93548,                0.89725,                0.88517,                0.95516,                0.79345,                0.77252,                0.58508,                 1.2344,             3.6297e-05,             3.6297e-05,             3.6297e-05
                     93,                0.34112,                0.29788,                0.93325,                0.90865,                0.86603,                0.95001,                0.78182,                0.80347,                0.60279,                  1.267,                3.3e-05,                3.3e-05,                3.3e-05
                     94,                0.34294,                0.29153,                0.93396,                0.88721,                0.88295,                0.95621,                0.79139,                0.79367,                0.59194,                 1.2472,             2.9704e-05,             2.9704e-05,             2.9704e-05
                     95,                0.34026,                0.29101,                0.92529,                0.86008,                0.90542,                0.96576,                0.79507,                0.82118,                0.59028,                 1.2854,             2.6407e-05,             2.6407e-05,             2.6407e-05
                     96,                0.33797,                0.28907,                0.92378,                0.87909,                0.90457,                0.96051,                0.79598,                0.80223,                0.56847,                  1.255,              2.311e-05,              2.311e-05,              2.311e-05
                     97,                0.33094,                0.28221,                0.92333,                0.86327,                0.90364,                0.95607,                0.79127,                0.79393,                0.58133,                 1.2443,             1.9814e-05,             1.9814e-05,             1.9814e-05
                     98,                0.32619,                0.27943,                 0.9114,                0.87208,                0.90432,                  0.946,                0.78658,                0.77932,                0.57541,                 1.2388,             1.6517e-05,             1.6517e-05,             1.6517e-05
                     99,                0.32516,                0.28136,                0.92205,                0.86706,                0.90631,                0.95446,                0.78905,                0.80642,                0.58435,                 1.2681,              1.322e-05,              1.322e-05,              1.322e-05
                    100,                0.32851,                0.27979,                 0.9214,                0.89576,                0.89595,                0.95676,                0.79245,                0.78959,                0.57989,                 1.2503,             9.9234e-06,             9.9234e-06,             9.9234e-06
