                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.54727,                0.57879,                 1.1054,                0.89551,                0.88932,                0.94293,                0.76967,                0.85814,                0.59665,                 1.4784,             0.00019454,             0.00019454,             0.00019454
                     87,                0.54566,                 0.5786,                 1.1109,                0.90019,                0.84778,                0.93517,                0.74729,                0.89822,                0.63967,                 1.5266,             0.00019289,             0.00019289,             0.00019289
                     88,                0.54161,                0.56284,                  1.103,                0.90288,                0.91378,                0.95626,                0.75219,                0.90062,                0.54357,                 1.5206,             0.00019124,             0.00019124,             0.00019124
                     89,                0.54615,                0.55565,                 1.1035,                0.91054,                 0.8657,                0.94269,                0.76201,                0.85403,                0.60544,                 1.4603,             0.00018959,             0.00018959,             0.00018959
                     90,                0.55761,                0.56812,                 1.1264,                0.92446,                 0.8238,                0.94511,                0.75668,                0.87632,                0.62449,                 1.4801,             0.00018795,             0.00018795,             0.00018795
                     91,                0.54053,                 0.5356,                 1.1068,                0.93702,                0.85266,                0.94748,                0.75391,                0.90388,                0.60499,                 1.5375,              0.0001863,              0.0001863,              0.0001863
                     92,                0.52787,                0.52793,                 1.0956,                0.92386,                0.84713,                0.95135,                0.75776,                0.88601,                 0.5768,                 1.5122,             0.00018465,             0.00018465,             0.00018465
                     93,                0.52576,                0.52408,                 1.0931,                0.92925,                0.87218,                0.95547,                0.77428,                0.83843,                0.54481,                 1.4387,               0.000183,               0.000183,               0.000183
                     94,                0.53902,                0.51878,                 1.1073,                0.90937,                0.87643,                0.95654,                0.75063,                0.92676,                0.57439,                 1.5559,             0.00018135,             0.00018135,             0.00018135
                     95,                0.53582,                0.53984,                 1.0964,                 0.9098,                0.86114,                 0.9386,                0.75731,                0.86833,                0.61898,                 1.4895,              0.0001797,              0.0001797,              0.0001797
                     96,                 0.5391,                0.53837,                 1.1006,                0.93047,                0.86122,                0.96106,                0.75388,                0.97983,                 0.5645,                 1.6152,             0.00017806,             0.00017806,             0.00017806
                     97,                0.52452,                0.52867,                 1.0941,                0.88775,                0.86546,                0.94313,                0.75847,                 0.8927,                0.58035,                  1.516,             0.00017641,             0.00017641,             0.00017641
